sep=,
crm_guid,crm_code,crm_name,crm_doelgroep,crm_locatietype
fd72b4a6-0d11-e511-80d0-005056956c1a,NATURALIS,Naturalis Biodiversity Center,Onderzoeksinstellingen,Hoofdlocatie
2a6458b3-0911-e511-80d0-005056956c1a,NBD-BIBLION,NBD Biblion,Bibliotheken,Hoofdlocatie
c7dd6ecc-0d11-e511-80d0-005056956c1a,NCOI,NCOI Opleidingsgroep,Overig hoger onderwijs,Hoofdlocatie
2b7c7468-3692-e711-80e9-005056956c1a,NHLSTENDEN,NHL Stenden Hogeschool,HBO,Hoofdlocatie
23345ab9-0911-e511-80d0-005056956c1a,NIBG,Nederlands Instituut voor Beeld en Geluid,Musea,Hoofdlocatie
37168ebf-0911-e511-80d0-005056956c1a,NIKHEF,NIKHEF,Onderzoeksinstellingen,Hoofdlocatie
557150c6-0d11-e511-80d0-005056956c1a,NIMETO,Nimeto Utrecht,MBO,Hoofdlocatie
3d098696-0c11-e511-80d0-005056956c1a,NIOZ,Koninklijk Nederlands Instituut voor Zeeonderzoek - NIOZ,Onderzoeksinstellingen,Hoofdlocatie
3e88dde9-0911-e511-80d0-005056956c1a,NIVEL,Stichting Nivel,Onderzoeksinstellingen,Hoofdlocatie
66345ab9-0911-e511-80d0-005056956c1a,NKI,Nederlands Kanker Instituut,Onderzoeksinstellingen,Hoofdlocatie
2225fee0-0c11-e511-80d0-005056956c1a,NLDA,Nederlandse Defensie Academie (NLDA),Overig hoger onderwijs,Hoofdlocatie
e5fcf181-0d11-e511-80d0-005056956c1a,NOVA,ROC Nova College,MBO,Hoofdlocatie
4988dde9-0911-e511-80d0-005056956c1a,NPC,Noorderpoort,MBO,Hoofdlocatie
0b1a6ee6-cd5b-e711-80e7-005056956c1a,NRG,Nuclear Research Group,Onderzoeksinstellingen,Hoofdlocatie
7880d7b9-d76e-e811-80f7-005056956c1a,NSCR,Nederlands Studiecentrum Criminaliteit en Rechtshandhaving,Onderzoeksinstellingen,Hoofdlocatie
debe88c5-0911-e511-80d0-005056956c1a,NUFFIC,Nuffic,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
